"행정구역(시군구)별","시점",총인구수 (명),남자인구수 (명),여자인구수 (명)
"군산시","2000",277491,139602,137889
"군산시","2001",276717,138985,137732
"군산시","2002",272007,136922,135085
"군산시","2003",268639,135316,133323
"군산시","2004",265168,133643,131525
"군산시","2005",263120,132741,130379
"군산시","2006",260989,131744,129245
"군산시","2007",260562,131932,128630
"군산시","2008",263845,133832,130013
"군산시","2009",266922,135581,131341
"군산시","2010",272601,138380,134221
"군산시","2011",275659,140108,135551
"군산시","2012",278341,141486,136855
"군산시","2013",278319,141436,136883
"군산시","2014",278098,141252,136846
"군산시","2015",278398,141328,137070
"군산시","2016",277551,140793,136758
"군산시","2017",274997,139246,135751
"군산시","2018",272645,137897,134748
"군산시","2019",270131,136421,133710
"군산시","2020",267859,135332,132527
