지역,구분,2018,2019,2020
"제주시","현지인(a)","23,435,030","136,944,140","134,137,098"
"제주시","외지인(b)","50,375,420","51,420,257","44,482,275"
"제주시","외국인(c)","3,376,054","4,822,683","574,042"
"제주시","외부방문자(b+c)","53,751,473","56,242,940","45,056,317"
"제주시","전년외부방문자(b'+c')","0","53,751,473","56,242,940"
"제주시","외부방문자 전년대비증감률(%)","0","5","-20"
"서귀포시","현지인(a)","6,471,717","38,938,308","40,742,233"
"서귀포시","외지인(b)","38,905,902","39,598,464","33,145,966"
"서귀포시","외국인(c)","1,677,551","2,366,561","351,150"
"서귀포시","외부방문자(b+c)","40,583,453","41,965,025","33,497,116"
"서귀포시","전년외부방문자(b'+c')","0","40,583,453","41,965,025"
"서귀포시","외부방문자 전년대비증감률(%)","0","3","-20"
