기초지자체,구분,2015,2016,2017,2018,2019,2020
통영시,전체,"246,593","315,690","613,053","672,124","745,917","816,703"
통영시,자연관광지,"46,382","53,767","91,754","88,202","97,301","117,536"
통영시,역사관광지,"3,954","4,657","12,264","9,962","10,334","10,361"
통영시,휴양관광지,11,36,57,95,85,70
통영시,공연/행사,"2,201","3,055","5,800","6,799","7,869","4,284"
통영시,문화시설,"7,370","9,544","16,236","16,583","17,358","11,612"
통영시,레포츠(육상/해상/항공),"3,732","6,017","62,551","75,249","74,926","67,600"
통영시,쇼핑,"27,107","30,586","46,662","52,544","54,432","54,140"
통영시,식음료,"56,100","75,956","163,411","195,439","222,152","268,406"
통영시,숙박,"50,091","62,149","110,618","132,609","154,776","178,967"
통영시,기타관광지,"49,645","69,923","103,700","94,642","106,684","103,727"
