"행정구역(시군구)별",2020. 12,2020. 12,2020. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51829023,25841029,25987994
"서울특별시",9668465,4701723,4966742
"부산광역시",3391946,1661000,1730946
"대구광역시",2418346,1193109,1225237
"인천광역시",2942828,1473943,1468885
"광주광역시",1450062,717348,732714
"대전광역시",1463882,730699,733183
"울산광역시",1136017,583708,552309
"세종특별자치시",355831,177568,178263
"경기도",13427014,6754469,6672545
"강원도",1542840,776505,766335
"충청북도",1600837,811591,789246
"충청남도",2121029,1082634,1038395
"전라북도",1804104,896874,907230
"전라남도",1851549,930615,920934
"경상북도",2639422,1329211,1310211
"경상남도",3340216,1681423,1658793
"제주특별자치도",674635,338609,336026
